second,read_MiB_s,write_MiB_s,total_MiB_s,IOPS,avg_latency_ms,slc_read_MiB_s,slc_write_MiB_s,slc_total_MiB_s,slc_IOPS,slc_avg_latency_ms,tlc_read_MiB_s,tlc_write_MiB_s,tlc_total_MiB_s,tlc_IOPS,tlc_avg_latency_ms
0,0.00,2968.00,2968.00,2968,10.711,0.00,2968.00,2968.00,2968,10.711,0.00,0.00,0.00,0,0.000
1,0.00,2970.00,2970.00,2970,10.767,0.00,2970.00,2970.00,2970,10.767,0.00,0.00,0.00,0,0.000
2,0.00,2969.00,2969.00,2969,10.767,0.00,2969.00,2969.00,2969,10.767,0.00,0.00,0.00,0,0.000
3,0.00,2969.00,2969.00,2969,10.767,0.00,2969.00,2969.00,2969,10.767,0.00,0.00,0.00,0,0.000
4,0.00,2969.00,2969.00,2969,10.767,0.00,2969.00,2969.00,2969,10.767,0.00,0.00,0.00,0,0.000
5,0.00,1539.00,1539.00,1539,10.767,0.00,1539.00,1539.00,1539,10.767,0.00,0.00,0.00,0,0.000
